municipality,province,region,income_class,population,area_km2,pop_density_per_km2,solar_irradiance_kwh_m2_day,solar_norm,income_score,pop_density_norm,geo_score,final_score,web_score,tier,assessment,opportunities,risks,lat,lon
Tadian,Mountain Province,Cordillera Administrative Region (CAR),3rd,18073,135.01,133.9,4.691,0.2122,4.0,0.285,0.3563,0.5316,0.5938,MEDIUM,"Tadian's high income classification (score 0.80) within Mountain Province suggests the economic capacity to adopt solar technology, making it a more attractive market than neighboring lower-income municipalities. However, its very low population score (0.06) and location in the mountainous Cordillera region point to a limited total addressable market and potential logistical complexities for installation.","[""Capitalize on the regional momentum for renewable energy development, evidenced by the ordinance in nearby Paracelis and the province's GDP growth, to position solar as a modernization tool for Tadian's limited but economically capable businesses and institutions.""]","[""The municipality's mountainous terrain, implied by its province and the presence of the Isidro Wind Power Project, presents significant physical challenges and higher installation costs that could undermine project feasibility despite higher income levels.""]",16.9956909,120.8217222
Natonin,Mountain Province,Cordillera Administrative Region (CAR),3rd,8906,359.59,24.8,4.568,0.1082,4.0,0.1224,0.2874,0.6578,0.5737,MEDIUM,"Natonin presents a mixed profile: its first-class income classification and the strong national trend toward solar energy investments are positive indicators. However, its remote, mountainous location in Mountain Province and the likely mismatch between its high income score and the provided population data (which seems erroneously low) suggest the primary opportunity lies in higher-value institutional or commercial projects rather than a broad residential market.","[""Leverage the municipality's high-income status and the national renewable energy investment boom to target government buildings, schools, or tourism facilities for solar installations.""]","[""The remote, rugged terrain of Mountain Province would significantly increase logistics and transportation costs for equipment and maintenance, potentially undermining project profitability.""]",17.1074577,121.2747091
Sagada,Mountain Province,Cordillera Administrative Region (CAR),4th,10702,65.03,164.6,4.704,0.2232,3.0,0.3052,0.2516,0.4017,0.7812,MEDIUM,"Sagada, while known for its tourism appeal, shows limited data indicators for large-scale solar adoption, with very low solar irradiance and population scores typical for a high-altitude, mountainous municipality. Its moderate income level and small business sector suggest niche, smaller-scale commercial or tourism-linked installations are more viable than industrial projects.","[""Leverage Sagada's strong eco-tourism brand to develop solar solutions for hotels, homestays, and tourism facilities, branding them as part of a sustainable destination experience.""]","[""The municipality's remote, mountainous terrain with limited road infrastructure could significantly increase installation logistics and maintenance costs, and makes it vulnerable to supply chain delays.""]",17.0852054,120.8989806
Besao,Mountain Province,Cordillera Administrative Region (CAR),4th,6315,130.75,48.3,4.704,0.2232,3.0,0.1861,0.2278,0.4619,0.5875,LOW,"Besao, as a 3rd class municipality in Mountain Province, presents a complex picture; while its 0.35 solar irradiance score indicates suboptimal solar potential compared to lower-lying areas, the strong provincial-level push for solar projects (as highlighted in the economic news) creates a favorable policy environment. Its relatively high income score (0.60) suggests some local capacity to invest, but the very low population score points to a limited immediate residential market.","[""Leverage the documented provincial government and university collaboration (e.g., with Mapua) to position as an installer for the announced barangay-level solarization program in Mountain Province.""]","[""The low solar irradiance score (est. 1467 kWh/kWp/year) significantly undermines the core value proposition and financial viability of standard rooftop installations compared to regions with higher insolation.""]",17.0955228,120.8565903
Sabangan,Mountain Province,Cordillera Administrative Region (CAR),4th,8556,113.16,75.6,4.63,0.1606,3.0,0.2294,0.2146,0.471,0.5975,MEDIUM,"Sabangan presents a classic renewable energy paradox: its relatively high solar irradiance (0.79 score) is a strong physical asset, but its low income classification (5th class) and low economic activity scores (0.20 income, 0.25 population) severely constrain the local market's ability to finance and support commercial solar adoption. However, the mention of existing solar panel installations in specific northern barangays indicates prior market entry or pilot projects, which could provide a foundation for targeted expansion.","[""Develop a clustered, micro-grid or community solar model specifically for the northern barangays (Fidelisan, Pide, Aguid, etc.) where installations already exist, leveraging local awareness and potentially targeting municipal or community buildings as anchor customers.""]","[""The very low income level and small local economy mean the addressable market for private commercial/residential solar installations is extremely limited; the project would likely be entirely dependent on government subsidies, external funding, or targeting only a few institutional buyers.""]",17.0035277,120.9236583
Barlig,Mountain Province,Cordillera Administrative Region (CAR),4th,4363,252.31,17.3,4.598,0.1341,3.0,0.0887,0.1772,0.3726,0.625,MEDIUM,"Barlig is a remote, high-altitude municipality with limited solar irradiance and a very small population, making it a challenging location for large-scale solar deployment. However, its high business ratings and status as a rural community with typical energy challenges (like reliance on diesel generators) suggest a strong potential for small-scale, off-grid solar solutions to serve existing establishments and critical facilities like schools or the municipal hall.","[""Develop a community-focused microgrid or solar-battery system to power the cluster of 20 well-rated local businesses, reducing their operational costs and providing resilient power in a remote area.""]","[""The extreme mountainous terrain and low population density will lead to very high logistics and transportation costs for equipment, potentially making any project financially unviable without significant subsidy.""]",17.0409852,121.0997188
Sadanga,Mountain Province,Cordillera Administrative Region (CAR),5th,7781,176.13,44.2,4.606,0.1406,2.0,0.1775,0.0847,0.4129,0.5938,MEDIUM,"Sadanga presents a mixed picture; while its moderate solar irradiance provides a viable physical foundation for generation, its extremely low population score and 5th-class income status suggest a very limited immediate customer base with constrained purchasing power. The region's recent economic growth and recognition in sustainable energy awards indicate a supportive policy environment, but the actual commercial footprint (1 anchor, low price level) appears minimal.","[""Target cooperative or community-scale solar projects for agricultural processing (e.g., rice mills) or municipal facilities, leveraging the area's agricultural base and positive renewable energy sentiment to create an anchor project that can demonstrate value.""]","[""The municipality's low population density and likely dispersed settlement pattern in a mountainous area could lead to high per-unit installation and grid-interconnection costs, severely challenging project economics without subsidies.""]",17.1682043,121.0264409
City of Cadiz,Negros Occidental,Negros Island Region (NIR),1st,161558,526.42,306.9,5.177,0.6216,6.0,0.3661,0.7408,0.7239,0.6844,MEDIUM,"Cadiz City, as a 1st class urban center in Negros Occidental with a high income score, presents a strong commercial and industrial market for solar installations, especially among its four key commercial anchors. Its solid solar irradiance is adequate for viable projects, though not the highest in the region. The primary demand will likely come from energy-intensive businesses like warehouses and factories looking to reduce operational costs.","[""Target the city's commercial/industrial anchors, particularly warehouses and light industrial facilities, with solar power purchase agreements (PPAs) to reduce their significant electricity expenses.""]","[""Potential competition from larger, more densely commercialized cities in Negros Island Region, such as Bacolod, which may attract solar developers and investors first due to higher perceived density and business concentration.""]",10.956652,123.3057034
Manapla,Negros Occidental,Negros Island Region (NIR),1st,55882,99.8,559.9,5.105,0.5605,6.0,0.4251,0.7312,0.7359,0.7469,HIGH,"Manapla stands out as a high-potential market, being a 1st class urban municipality with the highest possible income score and a composite geo score that indicates favorable conditions beyond just solar irradiance. Its location in the heart of Negros Island Region, already hosting operational utility-scale solar farms like IslaSol, signals established solar infrastructure and local acceptance. This combination of strong purchasing power and a proven solar energy ecosystem makes it a prime target for commercial and industrial solar adoption.","[""Target the 2 identified commercial/industrial anchors (likely warehouses or factories) and other businesses with solar installation offers, leveraging the region's documented focus on warehousing growth and renewable energy expansion.""]","[""The municipality's solar market could be heavily skewed towards large, utility-scale solar farms (as evidenced by existing projects), potentially crowding out smaller commercial or residential installation opportunities.""]",10.9591466,123.1234936
Cauayan,Negros Occidental,Negros Island Region (NIR),1st,110899,469.86,236.0,5.158,0.6057,6.0,0.3404,0.7301,0.7308,0.7325,MEDIUM,"Cauayan's position as a 1st-class urban municipality adjacent to Bacolod places it directly within Negros Occidental's aggressive and well-funded push for solar energy, as highlighted by the province's projected P1 billion in long-term savings. Its high income score and proximity to developing industrial and logistics zones near Bacolod present a prime market for commercial and industrial rooftop solar installations to offset rising operational costs.","[""Target the commercial and industrial properties within or immediately adjacent to the municipality's identified warehouse/industrial anchor for rooftop solar projects, capitalizing on the region's strong policy tailwinds and demonstrated economic activity.""]","[""The province's solar investment may be overwhelmingly directed toward large-scale, utility solar farms for grid supply (as mentioned in the news), potentially overshadowing and delaying the development of localized, distributed generation solutions for individual businesses and homes in Cauayan itself.""]",9.9733632,122.6260198
Hinoba-an,Negros Occidental,Negros Island Region (NIR),1st,64364,402.33,160.0,5.17,0.6153,6.0,0.3024,0.7259,0.6924,0.6144,MEDIUM,"Hinoba-an's status as a 1st-class municipality with high income suggests robust local finances, making it a potential early adopter for solar installations on public buildings or as part of provincial initiatives. However, its coastal, predominantly agricultural economy and lower population density indicate that the primary commercial opportunity likely lies in supporting municipal infrastructure and large agri-business facilities rather than dense residential demand.","[""Partner with the provincial government or local cooperatives to pilot solar installations on municipal facilities (e.g., the public market, hospital) or agricultural processing centers, capitalizing on the province's announced \u20b1158.28M solar initiative and the area's decent solar irradiance.""]","[""The municipality's coastal geography may expose installations to higher salt corrosion and stronger storm risks, potentially increasing maintenance costs and requiring more durable (and expensive) equipment compared to inland sites.""]",9.6021766,122.4670994
Calatrava,Negros Occidental,Negros Island Region (NIR),1st,83813,287.53,291.5,5.11,0.5651,6.0,0.3611,0.72,0.6924,0.6281,MEDIUM,"Calatrava, as a 1st-class municipality with proven large-scale solar viability (hosting AboitizPower's major facility), represents a commercially aware market with strong underlying solar resources and economic capacity, making it a prime target for commercial and industrial distributed solar projects. However, its existing utility-scale solar footprint suggests market awareness is high, but potential saturation in that specific segment.","[""Leverage the existing solar infrastructure ecosystem to target commercial and industrial anchors (like the two identified malls/warehouses) with behind-the-meter solar solutions and energy storage, capitalizing on their proven grid compatibility and the area's high economic activity.""]","[""Market perception may be dominated by AboitizPower's utility-scale presence, making it challenging to differentiate distributed solar offerings or leading potential clients to await even larger-scale solutions or policy changes, delaying investment decisions.""]",10.5940442,123.4763844
Enrique B. Magalona,Negros Occidental,Negros Island Region (NIR),1st,65730,139.2,472.2,5.025,0.4939,6.0,0.4084,0.7045,0.7,0.6894,MEDIUM,"As a 1st-class municipality within the high-growth Negros Island Region, Enrique B. Magalona presents a solid market for residential and small commercial solar due to its high income classification and proximity to the renewable energy epicenter of Negros. While its solar irradiance is moderate, the strong local economy and regional momentum for renewables provide a favorable backdrop for adoption.","[""Target the affluent residential and small business sectors with rooftop solar systems, leveraging the municipality's high income score and the broader regional narrative of Negros as a renewable energy hub.""]","[""Potential competition from large-scale, utility-grade solar developments in the Negros Island Region, which could divert policy focus, investment, and public attention away from distributed generation projects.""]",10.8770717,122.9814106
City of San Carlos,Negros Occidental,Negros Island Region (NIR),1st,133175,407.73,326.6,4.954,0.4335,6.0,0.3722,0.6762,0.7111,0.7925,MEDIUM,"City of San Carlos presents a compelling opportunity for solar panel installation, leveraging its status as a highly urbanized, 1st-class city with significant existing solar infrastructure awareness and a population with high income and educational attainment. The very high income score indicates strong purchasing power, which aligns with the city's progressive stance on renewable energy, evidenced by its hosting of a major solar farm. However, the below-average solar irradiance suggests that system efficiency and customer savings calculations will be critical to market success.","[""Capitalize on the city's established solar identity and high-income demographic to target commercial rooftops and affluent residential communities for distributed solar generation, positioning systems as a cost-saving and status-aligned investment.""]","[""The municipality's existing large-scale solar facility could create market saturation or regulatory complexity for new utility-scale projects, while the urban constraints mentioned (traffic, limited space) may increase installation costs and logistical challenges for rooftop and commercial projects.""]",10.486048,123.4190385
Murcia,Negros Occidental,Negros Island Region (NIR),1st,90123,279.57,322.4,4.866,0.3593,6.0,0.371,0.6499,0.703,0.8269,MEDIUM,"Murcia, as an affluent and urban 1st-class municipality adjacent to Bacolod, presents a promising market due to its high income levels, demonstrated commercial activity, and its location within the Negros Island Region—a designated renewable energy hub with active large-scale solar projects and strong government interest in solar adoption.","[""Leverage the provincial government's documented commitment to solar energy (with projected long-term savings) to target municipal buildings, public facilities, and local commercial/industrial businesses seeking cost stability.""]","[""High competition from established and incoming large-scale solar developers (like PH Solar Advance Corp) and other local installers could saturate the utility-scale and commercial markets, making it difficult for residential or smaller commercial players to gain a foothold without a differentiated value proposition.""]",10.6066483,123.0404676
City of Sagay,Negros Occidental,Negros Island Region (NIR),2nd,152543,292.12,522.2,5.177,0.6216,5.0,0.4182,0.6387,0.6432,0.6537,MEDIUM,"City of Sagay presents a moderate opportunity for solar installation, driven by its strong municipal income classification and active provincial government initiatives toward solar transition, as seen in the 1.2 MW government building project. However, its solar irradiance is only average for the region, and the large-scale Sagay Solar on Water PV project indicates the utility-scale segment may be more developed than the rooftop commercial/residential market.","[""Leverage the provincial government's active solar transition program to target the municipal government's own building retrofitting and the broader public sector in the city.""]","[""Competition from large, utility-scale solar projects (like the Sagay Solar on Water plant) may absorb local investment attention and technical resources, potentially crowding out smaller commercial and residential rooftop opportunities.""]",10.8960681,123.4154617
Toboso,Negros Occidental,Negros Island Region (NIR),2nd,44973,118.06,380.9,5.196,0.6379,5.0,0.3873,0.6382,0.6498,0.6769,MEDIUM,"Toboso, as a rural 2nd-class municipality, shows promising alignment for solar adoption given its high income score and existing solar deployment for public facilities, which mirrors Negros Occidental's broader provincial push to save billions through solar transition. Its moderate solar irradiance is adequate, but the rural setting and lower population density suggest the primary market would be institutional and commercial rather than mass residential.","[""Partner with the provincial government and local businesses to expand the existing solar initiative on public facilities (like the municipal hall) into a model for commercial and agricultural facility solarization, capitalizing on the clear policy momentum and proven concept.""]","[""Its rural classification and distance from the major growth hub of Bacolod may limit the scale of commercial/industrial anchor clients, making the market more dependent on smaller enterprises and agricultural operations with potentially variable budgets.""]",10.7169474,123.5135576
Ilog,Negros Occidental,Negros Island Region (NIR),1st,63444,294.42,215.5,4.85,0.3461,6.0,0.3315,0.6375,0.6632,0.7231,MEDIUM,"Ilog, as a 1st-class urban municipality within the booming Negros Island Region, presents a prime commercial solar market, evidenced by its high income score and proximity to Bacolod's growing warehousing and logistics hubs. While its direct solar irradiance is moderate, the strong regional investment in renewables and industrial development (like the RATCH solar farm) indicates robust demand for cost-saving and ESG-compliant energy solutions from its numerous businesses. Its economic profile suggests the capital and commercial anchor points necessary for viable B2B solar projects.","[""Target the 7 identified commercial/industrial anchors (warehouses, factories, malls) with behind-the-meter solar and storage solutions to capitalize on their high energy costs and the region's push for renewable energy infrastructure.""]","[""The municipality's relatively low solar irradiance score (0.35) could lead to lower-than-expected energy output calculations, potentially undermining the financial ROI case for customers unless carefully managed with efficient technology and accurate modeling.""]",10.0242067,122.7691808
City of Kabankalan,Negros Occidental,Negros Island Region (NIR),1st,210893,659.11,320.0,4.777,0.2849,6.0,0.3702,0.6237,0.6536,0.7231,MEDIUM,"Kabankalan City presents a strong economic opportunity as a 1st-class urban center in Negros Occidental, evidenced by its high income score and confirmed commercial activity, including a major mall with an announced solar installation project. However, its solar irradiance score appears surprisingly low for the region, which may indicate microclimatic factors or data calibration issues that require on-the-ground verification before large-scale solar commitments.","[""Directly engage with the developers of the upcoming 100 kW on-grid solar project for the mall in Kabankalan City to secure a partnership or supply contract for this concrete, announced initiative.""]","[""The low solar irradiance score (0.28) contradicts general regional expectations for Negros Occidental, suggesting potential site-specific shading, weather patterns, or measurement errors that could negatively impact the economic viability and output forecasts of rooftop or ground-mount solar projects in the city.""]",9.9889153,122.8134802
Binalbagan,Negros Occidental,Negros Island Region (NIR),1st,72594,185.3,391.8,4.727,0.2429,6.0,0.3901,0.613,0.6078,0.5956,MEDIUM,"Binalbagan, as a 1st-class urban municipality in the heart of Negros Occidental, presents a compelling case for solar adoption driven by its high economic capacity and placement within the NIR's renewable energy boom. However, its relatively low solar irradiance score (0.24) is a significant constraint for residential ROI, making its economic anchors and policy momentum the primary demand drivers.","[""Target Binalbagan's commercial and industrial establishments (like the noted warehouse/logistics anchor) for solar power purchase agreements (PPAs), leveraging the province's strong political will for renewable energy and cost savings.""]","[""Binalbagan may be overshadowed in investment flows by the much larger and more prominent nearby hub of Bacolod City, potentially limiting the scale and speed of localized solar project development.""]",10.1937474,122.8587743
Hinigaran,Negros Occidental,Negros Island Region (NIR),1st,90403,152.75,591.8,4.698,0.2178,6.0,0.4305,0.6123,0.6311,0.675,HIGH,"Hinigaran, as a 1st-class urban municipality in Negros Occidental, presents a strong commercial and institutional market for solar, driven by its economic activity and the provincial government's active push toward renewable energy for public buildings. The very high income score indicates strong potential for commercial/industrial and affluent residential rooftop projects, though the locally measured solar irradiance is surprisingly low for the region, suggesting either micro-climatic factors or a data anomaly that requires verification. The overall environment is highly favorable given the active provincial policy and proven large-scale initiatives like the 1.2 MW government building project.","[""Target the municipal government and its network of commercial/industrial anchors (malls, warehouses, factories) to replicate the provincial capitol's successful solar transition model, offering power purchase agreements (PPAs) or lease-to-own systems that align with the established regional energy initiative.""]","[""The abnormally low solar irradiance score (0.22) for this tropical location is a critical red flag; if accurate, it could significantly reduce system economics and customer ROI, undermining the otherwise strong market fundamentals.""]",10.2713832,122.8519909
La Castellana,Negros Occidental,Negros Island Region (NIR),1st,82500,216.06,381.8,4.722,0.2383,6.0,0.3876,0.6109,0.617,0.6313,MEDIUM,"La Castellana presents a high-value urban target due to its first-class income status and proximity to Bacolod City, which is a hub for major solar farm developments. While the municipality's own solar irradiance is moderate, its economic capacity and the provincial government's active push toward solar energy create a strong foundation for commercial and institutional installations. The presence of established solar projects in neighboring areas further validates the region's commitment to renewable energy.","[""Leverage the provincial government's initiative to solarize public buildings as a model to target La Castellana's municipal facilities, commercial centers, and industrial zones with tailored rooftop or ground-mounted solutions.""]","[""The municipality's relatively low solar irradiance score could limit the economic efficiency of residential-scale projects, potentially slowing adoption among households with lower disposable income despite the overall high income classification.""]",10.3230498,123.0187418
City of Bago,Negros Occidental,Negros Island Region (NIR),1st,192993,406.59,474.7,4.69,0.2116,6.0,0.4089,0.6058,0.6371,0.71,MEDIUM,"City of Bago presents a strong commercial opportunity due to its 1st-class income classification and its strategic location within the emerging renewable energy hub of the newly reestablished Negros Island Region, as evidenced by the nearby 150-MW wind farm project. However, its relatively lower solar irradiance score and population density suggest that the most immediate market may be concentrated commercial or industrial users rather than widespread residential adoption.","[""Target commercial and industrial facilities (e.g., the 10 identified anchors) for solar rooftop or behind-the-meter installations, capitalizing on the city's high income level and the regional momentum toward renewable energy.""]","[""Large-scale utility solar projects and major renewable investments (like the wind farm) could dominate the local energy landscape and policy focus, potentially making smaller-scale commercial solar installations a lower priority for attention and incentives.""]",10.5376299,122.8352802
Pontevedra,Negros Occidental,Negros Island Region (NIR),1st,54941,111.39,493.2,4.687,0.2088,6.0,0.4127,0.6056,0.6193,0.6512,HIGH,"Pontevedra, as a 1st class municipality with a robust local economy, presents a viable market despite its low relative solar irradiance, which will require higher-efficiency panel recommendations. The recent provincial government focus on attracting renewable energy investment creates a supportive policy environment for solar adoption.","[""Leverage the municipality's economic strength and recent pro-renewable energy news to target commercial/industrial anchors (like the 3 found) and higher-income residential segments with premium, high-efficiency solar systems.""]","[""The significantly low solar irradiance (score of 0.21) means lower energy yield per installed panel, potentially undermining the financial return on investment for customers and making the value proposition harder to sell compared to sunnier municipalities.""]",10.3751168,122.866821
Isabela,Negros Occidental,Negros Island Region (NIR),1st,65399,191.58,341.4,4.7,0.2196,6.0,0.3766,0.6022,0.5948,0.5775,LOW,"Isabela, Negros Occidental, as a 1st-class urban municipality, presents a mixed opportunity; its high income score suggests strong commercial purchasing power for solar installations, but its relatively low solar irradiance score (0.22) limits the energy yield potential for rooftop or community solar projects. The referenced US$300M solar project is for Ilagan City in Isabela *Province* (Cagayan Valley), a different location entirely, so this major local news does not directly benefit this specific municipality in Negros.","[""Leverage the municipality's high income classification and urban density to target premium commercial and residential rooftops, focusing on solar-plus-storage systems or energy efficiency financing, despite lower irradiance.""]","[""The very low solar irradiance score is a fundamental constraint that may make standard solar economics uncompetitive without significant subsidies or innovative financing, potentially dampening customer ROI and adoption rates.""]",10.2047969,122.9892506
City of Escalante,Negros Occidental,Negros Island Region (NIR),3rd,97050,192.51,504.1,5.196,0.6379,4.0,0.4148,0.5312,0.5534,0.605,MEDIUM,"The City of Escalante presents a moderate potential for solar adoption, supported by its urban status and provincial government's aggressive push toward solar energy for public buildings. Its 3rd class income classification and moderate population score suggest a market likely more receptive to commercial or institutional projects rather than widespread residential uptake, given budget constraints. The documented provincial solar transition initiative provides a strong foundational awareness and policy tailwind for renewable energy within the locality.","[""Target the commercial and industrial sector, specifically the limited but present commercial anchors (e.g., malls, warehouses) and any associated businesses within the city's economic zone, offering solar installations to reduce their operational costs amid rising energy prices, leveraging the high-profile provincial government solar project as a proven case study.""]","[""The city's 3rd class income classification and moderate income score indicate potential affordability challenges for the broader residential market, possibly limiting the customer base to upper-middle-income households or those prioritizing long-term savings over upfront cost barriers.""]",10.8412587,123.499306
City of Sipalay,Negros Occidental,Negros Island Region (NIR),3rd,73847,327.14,225.7,5.175,0.6199,4.0,0.3361,0.5092,0.5372,0.6025,MEDIUM,"Sipalay's moderate solar irradiance and status as a top tourist destination in Negros Occidental present a niche opportunity for solar solutions in the hospitality sector, though its 3rd class income classification and relatively low population density suggest a market primarily for commercial rather than widespread residential adoption. The recent regional push for renewable energy, highlighted by the large-scale solar project in nearby Silay, indicates growing local awareness but also potential competitive pressure from utility-scale developers.","[""Targeting solar installations for hotels, resorts, and tourism-related businesses to capitalize on Sipalay's economic anchor as a tourist destination and enhance their sustainability profile.""]","[""The announcement of a major 69MWp solar farm in neighboring Silay could divert investment focus and policy attention away from distributed, customer-sited solar projects within Sipalay itself.""]",9.7491266,122.4040602
City of Himamaylan,Negros Occidental,Negros Island Region (NIR),2nd,117286,363.02,323.1,4.748,0.2599,5.0,0.3712,0.5027,,,,,,,10.0992841,122.870539
Valladolid,Negros Occidental,Negros Island Region (NIR),2nd,40487,40.13,1008.9,4.665,0.1906,5.0,0.4829,0.5008,,,,,,,10.461548,122.8234493
Moises Padilla,Negros Occidental,Negros Island Region (NIR),2nd,44864,140.33,319.7,4.707,0.2258,5.0,0.3702,0.4905,,,,,,,10.2708302,123.0733691
Candoni,Negros Occidental,Negros Island Region (NIR),3rd,22083,295.33,74.8,4.965,0.4429,4.0,0.2284,0.4257,0.478,0.57,MEDIUM,"Candoni, as a 4th-class municipality in the solar-rich Negros Island Region, presents a moderate solar market opportunity due to its decent irradiance (0.63) and favorable provincial policy environment. However, its relatively low population score (0.19) and lack of major commercial anchors indicate limited immediate demand, suggesting the market is likely in an early, project-based stage rather than a broad retail one.","[""Leverage the strong provincial policy push for renewable energy to target government buildings, schools, or agricultural facilities in Candoni for rooftop solar projects, positioning them as early adopters within the NIR's renewable energy ecosystem.""]","[""The combination of low population density and a 4th-class income classification creates a significant risk of insufficient purchasing power among residential and small business customers, potentially stalling demand despite favorable regional trends.""]",9.8306756,122.6429611
Salvador Benedicto,Negros Occidental,Negros Island Region (NIR),3rd,28231,217.41,129.8,4.913,0.3996,4.0,0.2821,0.4213,,,,,,,10.577077,123.220367
City of Silay,Negros Occidental,Negros Island Region (NIR),3rd,136802,209.39,653.3,4.778,0.2852,4.0,0.4402,0.4129,,,,,,,10.7994126,122.9756149
City of Talisay,Negros Occidental,Negros Island Region (NIR),3rd,109204,193.69,563.8,4.778,0.2852,4.0,0.4258,0.41,0.6015,0.8263,MEDIUM,"City of Talisay's status as a 1st-class urban center near Bacolod, combined with its maximum income score and existing large-scale solar infrastructure like the 174-MWp plant in Calatrava, signals a high-potential market with the financial capacity and proven grid familiarity to adopt commercial and industrial rooftop solar systems. However, the notably low solar irradiance score for this specific locality presents a fundamental technical challenge that must be addressed in any value proposition.","[""Target the 5 identified commercial/industrial anchors (e.g., malls, warehouses) with tailored rooftop solar PPA models, leveraging their high visibility, stable operations, and the clear precedent set by the region's utility-scale solar plant.""]","[""The low solar irradiance score (0.13) significantly reduces the energy yield and financial return for end-customers, potentially suppressing market adoption unless offset by very high electricity rates or innovative financing.""]",10.7372649,122.9673325
Pulupandan,Negros Occidental,Negros Island Region (NIR),3rd,31942,16.93,1887.2,4.69,0.2116,4.0,0.5444,0.4079,,,,,,,10.5192005,122.8034563
City of Victorias,Negros Occidental,Negros Island Region (NIR),4th,90290,105.47,856.1,5.025,0.4939,3.0,0.4668,0.3787,0.5889,0.6075,MEDIUM,"City of Victorias presents a promising solar installation opportunity due to its exceptionally high solar irradiance (score 0.88) and its location in Negros Occidental, a province actively expanding its renewable energy footprint. However, its rural, agricultural-based economy (centered on sugar mills) and modest municipal income classification (3rd class) suggest the most viable market will be commercial or industrial anchors like those sugar centrals, rather than mass residential adoption.","[""Targeting the sugar mills and related agricultural-processing facilities in Victorias for rooftop or ground-mounted solar systems, leveraging the province's existing renewable energy infrastructure and corporate sustainability trends.""]","[""The municipality's primary economic driver is agriculture, which is highly vulnerable to price volatility (e.g., global sugar prices) and climate impacts, potentially reducing business and public capital available for energy investments in the short term.""]",10.9013412,123.0714943
City of La Carlota,Negros Occidental,Negros Island Region (NIR),4th,67740,127.28,532.2,4.699,0.2188,3.0,0.4201,0.2731,0.455,0.77,MEDIUM,"City of La Carlota, a rural 5th-class municipality in the heart of Negros Occidental, presents a classic case of localized opportunity within a macro solar boom. While its own solar irradiance is moderate and local population and income are low-scoring, it is geographically situated within the ""clean energy capital of the Philippines,"" a region attracting massive renewable energy investments and facing a strong public movement to convert its exported solar power into local consumption. This creates a ripe environment for solar adoption, particularly if tied to the municipality's agricultural sector or commercial anchors.","[""Leverage the intense regional momentum and anti-fossil fuel sentiment to position solar power as a solution for La Carlota's agricultural economy, targeting farms and processing facilities (like sugar centrals) for direct consumption and potential export to the grid, aligning with larger provincial RE goals.""]","[""The municipality's low income classification (5th class) and rural nature suggest limited upfront capital among residents and small businesses, making the market highly dependent on external financing, government subsidies, or partnerships with larger agricultural/industrial players to become viable.""]",10.4268649,122.9208074
San Enrique,Negros Occidental,Negros Island Region (NIR),4th,24424,28.14,868.0,4.665,0.1906,3.0,0.4681,0.2728,,,,,,,10.419678,122.8495462
Siaton,Negros Oriental,Negros Island Region (NIR),1st,84169,427.26,197.0,5.21,0.6495,6.0,0.3228,0.7419,0.7304,0.7037,MEDIUM,"Siaton, as a 1st-class municipality and urban center in Negros Oriental, presents a strong economic case for solar adoption with its high income classification and active commercial base. Its moderate solar irradiance score suggests that high-efficiency panels would be necessary to maximize returns, as it is not in the highest irradiance tier. The commercial anchors nearby provide a clear starting point for B2B solar opportunities.","[""Leverage Siaton's high income status and commercial density (6 anchors) to target businesses, especially the 20 identified establishments, with commercial rooftop solar and solar-powered cold storage solutions, addressing both energy costs and sustainability goals.""]","[""The relatively low population score (0.32) indicates a limited residential customer base, which could cap the overall market size for residential solar and require a strong focus on commercial/industrial projects to be viable.""]",9.0627498,123.0337961
Sibulan,Negros Oriental,Negros Island Region (NIR),1st,69092,160.17,431.4,5.087,0.5453,6.0,0.3995,0.7208,0.6902,0.6187,MEDIUM,"Sibulan, as a 1st-class urban municipality within the fast-growing Negros Island Region, presents a strong commercial market for solar solutions due to its high income level and the region's clear trajectory as a renewable energy hub. However, its moderate solar irradiance score suggests that system efficiency and payback period calculations will be critical selling points for businesses.","[""Target the identified commercial/industrial anchors and nearby businesses with high-quality solar installations to capitalize on rising electricity costs and the region's strong economic momentum in renewables and warehousing.""]","[""The municipality's electrical grid infrastructure may face strain from rapid regional development and high energy demand, potentially leading to interconnection delays or limiting the size of viable commercial rooftop projects.""]",9.3589133,123.2853598
Valencia,Negros Oriental,Negros Island Region (NIR),1st,39986,162.59,245.9,5.087,0.5453,6.0,0.3445,0.7098,0.7078,0.7031,MEDIUM,"Valencia presents a strong market for solar installations due to its 1st-class income status and proximity to Dumaguete, making it an affluent residential and commercial hub within the Negros Island Region. While its solar irradiance is moderate, the recent opening of the Westville Heights residential development in Palinpinon, combined with existing commercial anchors, indicates growing demand for reliable, sustainable power in this rapidly developing municipality.","[""Target the new Westville Heights residential subdivision in Brgy. Palinpinon with tailored residential rooftop solar packages, leveraging the high income score and active property development.""]","[""Competition from larger solar providers focusing on the adjacent, more urbanized Dumaguete City, which may capture the majority of commercial-scale projects and more established supply chains.""]",9.2817803,123.2446771
